step,R_mean,R_std,V_mean,V_std,KL,entropy,Loss
2940,1.216,1.187,0.829,0.931,0.0187,0.0638,0.2756
2950,0.581,1.141,0.411,0.892,0.0984,0.0425,0.4020
2960,1.062,1.308,1.171,1.039,0.0844,0.0692,0.2184
2970,0.096,1.522,0.437,0.998,0.0310,0.0725,0.6146
2980,0.909,1.444,0.926,0.916,0.2116,0.0710,0.3530
2990,0.214,1.243,0.245,0.763,0.0270,0.0825,0.6199
3000,-0.111,1.429,0.337,0.851,0.0216,0.0758,0.6542
3010,0.429,1.191,0.269,0.701,0.0309,0.0711,0.3372
3020,0.284,1.322,0.413,0.959,0.0166,0.0654,0.3362
3030,0.006,1.406,0.001,0.948,0.0271,0.0807,0.4556
3040,-0.376,1.368,-0.017,0.965,0.0330,0.0757,0.6707
3050,0.614,1.319,0.557,1.066,0.0394,0.0759,0.3616
3060,1.005,1.156,0.850,0.937,0.0534,0.0753,0.2702
3070,0.329,1.531,0.249,1.044,0.0263,0.0871,0.6549
3080,0.470,1.398,0.476,0.980,0.0422,0.0691,0.3156
3090,0.957,1.142,0.364,0.981,0.0152,0.0736,0.5986
3100,0.572,1.155,0.236,0.856,0.0281,0.0705,0.5987
3110,0.690,1.266,0.688,1.017,0.0560,0.0789,0.1554
3120,0.308,1.376,0.372,0.899,0.0275,0.0769,0.5480
3130,0.701,1.202,0.872,0.908,0.0195,0.0834,0.4114
3140,0.383,1.407,0.220,0.765,0.0346,0.0796,0.9304
3150,0.640,1.335,0.564,0.934,0.0369,0.0809,0.4039
3160,0.307,1.489,0.358,0.795,0.0174,0.0719,0.5544
3170,0.782,1.297,0.674,0.952,0.0125,0.0775,0.6283
3180,0.071,1.209,0.208,0.688,0.0140,0.0692,0.5128
3190,0.155,1.267,0.177,0.640,0.0287,0.0789,0.5301
3200,0.981,1.069,0.415,0.885,0.0090,0.0690,0.3985
3210,0.752,1.202,0.602,0.814,0.0147,0.0569,0.3161
3220,0.445,1.421,0.372,1.002,0.0057,0.0791,0.4479
3230,0.020,1.364,-0.128,0.996,0.0211,0.0907,0.2411
3240,0.161,1.292,0.587,0.826,0.0280,0.0791,0.5847
3250,0.938,1.055,0.858,0.603,0.0127,0.0689,0.7369
3260,0.934,1.085,0.919,0.787,0.0651,0.0829,0.2479
3270,0.857,1.094,0.700,0.691,0.0406,0.0798,0.4429
3280,0.468,1.152,0.316,0.730,0.0157,0.0757,0.3460
3290,0.231,1.326,0.316,0.586,0.0697,0.0880,0.7999
3300,-0.336,1.147,0.012,0.736,0.0047,0.0740,0.5080
3310,-0.228,1.397,-0.153,0.770,0.0015,0.0768,0.6735
3320,-0.490,1.292,0.048,0.921,0.0205,0.0736,0.8272
3330,0.370,1.115,0.335,0.777,0.0050,0.0797,0.6519
3340,-0.285,1.311,0.407,0.810,0.0101,0.0672,1.1771
3350,0.385,1.197,0.433,0.956,0.0232,0.0802,0.2247
3360,0.157,1.208,0.199,0.780,0.0219,0.0776,0.3881
3370,-0.040,1.283,-0.071,0.757,0.0343,0.0790,0.5356
3380,0.271,1.265,0.368,0.859,0.0429,0.0716,0.3029
3390,-0.054,1.265,0.231,0.865,0.0243,0.0678,0.6027
3400,0.258,1.252,0.484,0.661,0.0416,0.0650,0.6597
3410,-0.169,1.240,0.112,0.713,0.0169,0.0741,0.3620
3420,0.552,1.047,0.243,0.684,0.0477,0.0766,0.3258
3430,0.505,1.330,0.411,0.780,0.0495,0.0859,0.4032
3440,0.235,1.195,0.287,0.615,0.0173,0.0706,0.6979
3450,0.387,1.219,0.218,0.738,0.0408,0.0758,0.4495
3460,0.556,1.294,0.220,0.975,0.0376,0.0743,0.3262
3470,0.062,1.240,-0.013,0.711,0.0287,0.0763,0.7013
